VIN,Price,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Odometer,Est. Retail Value,Repair cost,Engine,Drive,Cylinders,Sale Status
2V4RW3D19AR295249,1300,2010,VOLKSWAGEN,ROUTAN SE,ROUTAN SE,SPORTS V,WHITE,Front,80311,9671,0,3.8,F,6,Pure
1NXBU4EE3AZ342041,2550,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,RED,Side,112976,7570,0,1.8,F,4,Pure
JH4CU2F67AC030071,4350,2010,ACURA,TSX,TSX,SEDAN 4D,WHITE,Side,96183,9245,0,2.4,F,4,Pure
2HNYD2H63AH516906,4100,2010,ACURA,MDX,MDX TECHNO,4DR SPOR,SILVER,Rear,111533,15747,13272,3.7,All,6,Pure
2T1BU4EE2AC457487,900,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GRAY,Front,232125,5840,0,1.8,F,4,Pure
3N1BC1AP7AL413896,1250,2010,NISSAN,VERSA,VERSA S,SEDAN 4D,GRAY,Front,80752,6046,0,1.8,F,4,Pure
WDDGF5EB4AR129737,3750,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,SILVER,Side,121394,8612,6352,3.0,R,6,Pure
JN8AS5MT6AW502384,2550,2010,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Side,69766,8249,4533,2.5,F,4,Pure
1NXBU4EE3AZ303305,2150,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,BLUE,Side,141307,5978,0,1.8,F,4,Pure
WDCGG8HB4AF434476,3150,2010,MERCEDES-BENZ,GLK 350 4M,GLK 350 4M,4DR SPOR,WHITE,Front,194941,9009,0,3.5,All,6,Pure
JTMWK4DV1A5027195,2200,2010,TOYOTA,RAV4 SPORT,RAV4 SPORT,4DR SPOR,SILVER,Front,146093,10372,9440,3.5,F,6,Pure
3N1AB6AP6AL631517,975,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,RED,Front,120724,5625,4206,2.0,F,4,Minimum
4JGBB8GB1AA594906,3900,2010,MERCEDES-BENZ,ML 350 4MA,ML 350 4MA,4DR SPOR,BLACK,Front,74481,13192,9661,3.5,All,6,Minimum
19XFA1F50AE070719,1950,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BURGUNDY,Front,108064,7802,0,1.8,F,4,Pure
JM1NC2FF0A0206991,1800,2010,MAZDA,MX5,MX-5 MIATA,CONVERTI,MAROON,Front,61255,13484,13828,2.0,R,4,Minimum
JTHBE1KS5A0047846,1650,2010,LEXUS,GS350,GS 350,SEDAN 4D,BLUE,Rear,147223,10260,10000,3.5,R,6,Pure
4JGBB5GB6AA595659,6600,2010,MERCEDES-BENZ,ML 350,ML 350,4DR SPOR,WHITE,Rear,86030,11661,9025,3.5,R,6,Pure
3N1AB6AP5AL626129,1600,2010,NISSAN,SENTRA,SENTRA 2.0,SEDAN 4D,WHITE,Rear,57696,5594,3044,2.0,F,4,Minimum
1N4AL2APXAN526214,225,2010,NISSAN,ALTIMA,ALTIMA BAS,SEDAN 4D,BLACK,Front,126078,5913,5705,2.5,F,4,Minimum
WDDGF5EB5AR108752,3100,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,CHARCOAL,Front,106177,8500,0,3.0,R,6,Minimum
1NXBU4EE4AZ266734,2400,2010,TOYOTA,COROLLA BA,COROLLA BA,SEDAN 4D,GOLD,Front,123135,7353,6796,1.8,F,4,Pure
19XFA1F58AE030856,900,2010,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,WHITE,Front,170075,5264,5749,1.8,F,4,Minimum
4T1BF3EK0AU116968,2600,2010,TOYOTA,CAMRY BASE,Camry BASE,SEDAN 4D,SILVER,Rear,50985,9802,0,2.5,F,4,Pure
4JGCB6FB3AA102175,1600,2010,MERCEDES-BENZ,R 350 4MAT,R 350 4MAT,4DR SPOR,WHITE,Side,199909,9757,0,3.5,All,6,Pure
2T3ZF4DV7AW027597,3300,2010,TOYOTA,RAV4,RAV4,4DR SPOR,TEAL,Rear,126207,9014,0,2.5,F,4,Pure
JTMZF4DV5AD019107,2850,2010,TOYOTA,RAV4,RAV4,4DR SPOR,BLUE,Rear,112994,8606,7898,2.5,F,4,Pure
WDDGF5EB2AR096057,5400,2010,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,WHITE,Front,83106,9953,8443,3.0,R,6,Minimum
