"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status","ImportPrice","ShippingCost"
"1","19UUB2F55GA007557",6400,2016,"ACURA","TLX","TLX TECH","SEDAN 4D","BURGUNDY","Front",28035,22890,21430,3.5,"F",6,"Pure",4559,3000
"2","19UDE2F8XGA009158",5600,2016,"ACURA","ILX","ILX PREMIU","SEDAN 4D","GRAY","Front",25128,21871,14518,2.4,"F",4,"Minimum",4162,3000
"3","5J8TB3H37GL017721",6000,2016,"ACURA","RDX","RDX","4DR SPOR","MAROON","Front",50935,23648,13387,3.5,"F",6,"Minimum",4360,3000
"4","5J8TB4H33GL008584",3550,2016,"ACURA","RDX","RDX","4DR SPOR","GRAY","Front",74667,20135,17347,3.5,"All",6,"Minimum",3351,3000
"5","19UDE2F33GA014707",3450,2016,"ACURA","ILX","ILX BASE","SEDAN 4D","SILVER","ALL OVER",50533,16865,0,2.4,"F",4,"Minimum",3093,3000
"6","19UUB1F32GA015673",4150,2016,"ACURA","TLX","TLX","SEDAN 4D","WHITE","Front",42782,17033,13890,2.4,"F",4,"Minimum",3441,3000
"7","19UDE2F86GA016365",1950,2016,"ACURA","ILX","ILX PREMIU","SEDAN 4D","WHITE","Front",95098,13691,10777,2.4,"F",4,"Pure",2390,3000
"8","19UUB2F32HA005930",9000,2017,"ACURA","TLX","TLX","SEDAN 4D","WHITE","Rear",21088,24725,0,3.5,"F",6,"Minimum",5851,3000
"9","19UUB3F55HA003127",9700,2017,"ACURA","TLX","TLX TECH","SEDAN 4D","BLUE","Minor",35016,25697,28992,3.5,"All",6,"Pure",6198,3000
"10","19UDE2F38HA013750",3350,2017,"ACURA","ILX","ILX BASE","SEDAN 4D","BLUE","Front",5587,20807,0,2.4,"F",4,"Pure",3044,3000
"11","5FRYD4H58HB017056",12100,2017,"ACURA","MDX","MDX TECHNO","4DR SPOR","BLACK","Side",42684,34820,27617,3.5,"All",6,"Pure",7391,3000
"12","19UUB1F56HA011015",3700,2017,"ACURA","TLX","TLX TECH","SEDAN 4D","GRAY","Front",29656,22448,17924,2.4,"F",4,"Pure",3218,3000
"13","19UDE2F37HA000813",2550,2017,"ACURA","ILX","ILX BASE","SEDAN 4D","WHITE","Front",35663,17530,0,2.4,"F",4,"Approval",2646,3000
