"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status"
"1","1N4AL3AP7GC153028",5300,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",55405,14621,10352,2.5,"F",4,"Minimum"
"2","5YFBURHE9GP562478",5800,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Side",21544,18148,0,1.8,"F",4,"Pure"
"3","3CZRM3H32GG708570",6700,2016,"HONDA","CR-V LX","CR-V LX","4DR SPOR","BLACK","Rear",34740,17739,13493,2.4,"F",4,"Minimum"
"4","1N4AL3AP8GN308853",2900,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",96905,9322,7247,2.5,"F",4,"Minimum"
"5","4T1BF1FK8GU540572",5100,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",32213,17550,15662,2.5,"F",4,"Minimum"
"6","3MZBM1T7XGM327263",3700,2016,"MAZDA","3","3 SPORT","SEDAN 4D","BLUE","Rear",25008,14318,0,2,"F",4,"Minimum"
"7","WDDUG8CB6GA243217",33250,2016,"MERCEDES-BENZ","S CLASS","S 550","SEDAN 4D","BLUE","Front",100520,46957,31097,4.6,"R",8,"Minimum"
"8","4T1BF1FK2GU551938",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",61219,16508,0,2.5,"F",4,"Minimum"
"9","19XFC1F31GE208317",5700,2016,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Side",85956,15594,0,1.5,"F",4,"Pure"
"10","19UUB2F55GA007557",6400,2016,"ACURA","TLX","TLX TECH","SEDAN 4D","BURGUNDY","Front",28035,22890,21430,3.5,"F",6,"Pure"
"11","5FNYF5H54GB018883",6100,2016,"HONDA","PILOT EXL","PILOT EXL","4DR SPOR","BLUE","Front",66813,24839,18201,3.5,"F",6,"Minimum"
"12","1N4AA6AP1GC448763",4750,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Front",93024,15521,12191,3.5,"F",6,"Minimum"
"13","WBA4A9C52GG505465",6100,2016,"BMW","428 I","428 I","SEDAN 4D","BLUE","Side",80053,24349,0,2,"R",4,"Pure"
"14","4T1BF1FKXGU503958",6300,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Side",95099,13531,0,2.5,"F",4,"Pure"
"15","5J6RM4H71GL078892",7600,2016,"HONDA","CR-V EXL","CR-V EXL","4DR SPOR","BLUE","Front",36949,22128,17003,2.4,"All",4,"Minimum"
"16","3N1AB7AP1GY227347",2600,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","SILVER","Rear",32851,11425,0,1.8,"F",4,"Minimum"
"17","5YFBURHE0GP393399",4150,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",59166,14631,9015,1.8,"F",4,"Pure"
"18","3VW267AJ4GM302550",1950,2016,"VOLKSWAGEN","JETTA","JETTA S","SEDAN 4D","GRAY","Front",27136,11621,0,1.4,"F",4,"Minimum"
"19","19XFC2F52GE210097",4050,2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","CHARCOAL","Front",40565,14735,0,2,"F",4,"Pure"
"20","5YFBURHE8GP538298",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",32397,14891,0,1.8,"F",4,"Pure"
"21","WP1AA2A29GKA09869",16500,2016,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","BLACK","Side",33931,45018,45018,3.6,"All",6,"Pure"
"22","3CZRU6H75GM770020",4900,2016,"HONDA","HR-V EXL","HR-V EXL","4DR SPOR","CHARCOAL","Front",38733,20170,16874,1.8,"All",4,"Pure"
"23","58ABK1GG3GU003610",13100,2016,"LEXUS","ES350","ES 350","SEDAN 4D","BLUE","Front",4797,25032,0,3.5,"F",6,"Minimum"
"24","2HGFC2F87GH542066",5200,2016,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Rear",54706,15268,14056,2,"F",4,"Minimum"
"25","4T1BF1FK6GU141482",4800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",43231,17432,17074,2.5,"F",4,"Minimum"
"26","3N1AB7APXGL641031",2700,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLUE","Rear",48830,12098,0,1.8,"F",4,"Pure"
"27","3N1AB7AP6GY335964",2850,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLUE","Front",41695,12213,10442,1.8,"F",4,"Pure"
"28","1HGCR2F56GA179538",5700,2016,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","SILVER","Side",40940,19769,13775,2.4,"F",4,"Minimum"
"29","WVGBV7AX3GW516712",3650,2016,"VOLKSWAGEN","TIGUAN S","TIGUAN S","4DR SPOR","BLUE","Side",75192,14304,15874,2,"All",4,"Pure"
"30","WDDUX7GB6GA225000",47500,2016,"MERCEDES-BENZ","S MERCEDES","S MERCEDES","SEDAN 4D","BLACK","Front",4238,157000,0,6,"R",12,"Minimum"
"31","2HGFC2F55GH559342",4650,2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","GRAY","Front",103468,11266,0,2,"F",4,"Minimum"
"32","WBALL5C59G5A20009",7300,2016,"BMW","Z4","Z4 SDRIVE2","CONVERTI","BLACK","Rear",22778,37445,18221,2,"R",4,"Minimum"
"33","WP0BB2A93GS136875",60500,2016,"PORSCHE","911","911 TARGA","COUPE","BLACK","Side",28402,121454,22141,3.8,"All",6,"Minimum"
"34","WDDLJ6FB9GA162743",16100,2016,"MERCEDES-BENZ","C CLASS","CLS 400","SEDAN 4D","GRAY","Side",49371,44301,0,3,"R",6,"Approval"
"35","3MYDLBZV3GY110514",1400,2016,"TOYOTA","SCION","SCION IA","SEDAN 4D","BLUE","Front",28300,12945,0,1.5,"F",4,"Minimum"
"36","3CZRM3H56GG711330",9700,2016,"HONDA","CR-V EX","CR-V EX","4DR SPOR","RED","Front",19533,26783,0,2.4,"F",4,"Minimum"
"37","3N1AB7AP2GY289162",3400,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","SILVER","Mechanical",73551,9289,3000,1.8,"F",4,"Approval"
"38","WP1AA2A20GLA11522",22300,2016,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","BLACK","Front",11695,48574,16252,3.6,"All",6,"Minimum"
"39","5UXKR2C53G0H41661",15600,2016,"BMW","X5 SDRIVE3","X5 SDRIVE3","4DR SPOR","BLACK","Front",61670,44158,12362,3,"R",6,"Minimum"
"40","5FNRL5H35GB036904",8600,2016,"HONDA","ODYSSEY SE","ODYSSEY SE","SPORTS V","BLACK","Side",32357,26518,9956,3.5,"F",6,"Minimum"
"41","5TDYK3DC6GS714614",10000,2016,"TOYOTA","SIENNA XLE","SIENNA XLE","SPORTS V","BLUE","Rear",61604,27509,10864,3.5,"F",6,"Minimum"
"42","WAUGFAFC5GN020159",11100,2016,"AUDI","A6","A6 PREMIUM","SEDAN 4D","BLACK","Front",48405,35523,12215,2,"All",4,"Minimum"
"43","WBA5B1C58GG134797",9600,2016,"BMW","535 I","535 I","SEDAN 4D","SILVER","Rear",36356,33392,38428,3,"R",6,"Minimum"
"44","WBA6D0C50GD927781",15500,2016,"BMW","6 SERIES","640 I","SEDAN 4D","GRAY","Front",89449,51254,14251,3,"R",6,"Minimum"
"45","55SWF4JB6GU130732",15800,2016,"MERCEDES-BENZ","C CLASS","C 300","SEDAN 4D","SILVER","Front",32635,37265,0,2,"R",4,"Minimum"
"46","WDDSJ4EB8GN378285",10700,2016,"MERCEDES-BENZ","C CLASS","CLA 250","SEDAN 4D","BLACK","Side",19310,29652,0,2,"F",4,"Minimum"
"47","1N4AL3AP7GC151750",4600,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","RED","Front",32390,14529,6217,2.5,"F",4,"Minimum"
"48","3N1AB7AP2GL663993",2950,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","WHITE","Front",45337,11463,13659,1.8,"F",4,"Minimum"
"49","4T1BF1FK0GU154888",3650,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",75371,11138,16017,2.5,"F",4,"Minimum"
"50","3N1AB7AP1GL664729",2850,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","SILVER","Rear",52854,10235,9370,1.8,"F",4,"Pure"
"51","1HGCR2F8XGA101225",3100,2016,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","BLACK","Rear",54294,16619,13056,2.4,"F",4,"Minimum"
"52","19XFC2F57GE080589",5200,2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","WHITE","Side",46908,13517,10833,2,"F",4,"Pure"
"53","1N4AL3AP7GC137895",4850,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Rear",32778,18222,14257,2.5,"F",4,"Minimum"
"54","1N4AL3AP4GN321616",2550,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Front",94968,11456,0,2.5,"F",4,"Pure"
"55","WDC0G4KB9GF010786",16600,2016,"MERCEDES-BENZ","GLC 300 4M","GLC 300 4M","4DR SPOR","BLACK","Front",36598,30274,28924,2,"All",4,"Pure"
"56","19XFC1F4XGE017889",3700,2016,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","BLUE","Rear",34413,17386,14196,1.5,"F",4,"Pure"
"57","WBS6E9C55GG437221",16600,2016,"BMW","M6","M6 GRAN CO","SEDAN 4D","GRAY","Front",36478,67160,0,4.4,"R",8,"Approval"
"58","4T1BF1FK5GU596565",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","CHARCOAL","Front",66776,11312,11883,2.5,"F",4,"Pure"
"59","1N4AA6AP0GC906079",7600,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BROWN","Rear",43039,24108,16816,3.5,"F",6,"Minimum"
"60","5YFBURHE5GP494096",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Rear",61168,11749,10960,1.8,"F",4,"Pure"
"61","1HGCR3F8XGA035216",6900,2016,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","GRAY","Front",40684,19339,14623,3.5,"F",6,"Minimum"
"62","2HGFC2F56GH555493",3850,2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLACK","Side",42525,14062,12185,2,"F",4,"Minimum"
"63","JTEZU5JR5G5118690",7900,2016,"TOYOTA","4RUNNER SR","4RUNNER SR","4DR SPOR","BLUE","Front",53486,26572,21474,4,"R",6,"Pure"
"64","1N4AA6AP2GC442390",5400,2016,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","WHITE","Side",86935,14183,10697,3.5,"F",6,"Pure"
"65","2HKRM3H41GH538059",4750,2016,"HONDA","CR-V SE","CR-V SE","4DR SPOR","SILVER","Front",26641,17939,13069,2.4,"F",4,"Pure"
"66","3N1AB7AP6GY282179",2250,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","BLACK","Front",67058,8681,6387,1.8,"F",4,"Minimum"
"67","4T4BF1FK8GR565381",4650,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",53406,13462,23902,2.5,"F",4,"Minimum"
"68","JTJYARBZ1G2024660",16200,2016,"LEXUS","NX 200T","NX 200T","4DR SPOR","WHITE","Front",61910,23386,21710,2,"F",4,"Pure"
"69","1N4AL3AP8GC282668",3250,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","WHITE","Rear",70428,12715,15463,2.5,"F",4,"Minimum"
"70","5YFBURHE9GP460257",2700,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",45669,11548,16810,1.8,"F",4,"Minimum"
"71","3N1CN7AP2GL895087",2050,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","SILVER","Side",48283,9190,9190,1.6,"F",4,"Approval"
"72","1HGCR2F85GA115291",6200,2016,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","BLACK","Front",46448,17266,13681,2.4,"F",4,"Minimum"
"73","WBA5A5C59GG349860",9600,2016,"BMW","5 SERIES","528 I","SEDAN 4D","BLACK","Front",21900,26963,20641,2,"R",4,"Approval"
"74","3MYDLBZV7GY105638",2350,2016,"TOYOTA","SCION","SCION IA","SEDAN 4D","CHARCOAL","Side",41050,10581,8702,1.5,"F",4,"Minimum"
"75","1N4AL3AP0GN318194",3650,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Front",47803,12576,9465,2.5,"F",4,"Minimum"
"76","19XFC2F77GE040398",7200,2016,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","BLACK","Rear",23127,17875,0,2,"F",4,"Minimum"
"77","4T4BF1FK7GR577098",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",49252,15400,0,2.5,"F",4,"Minimum"
"78","3VWD67AJ4GM316554",2750,2016,"VOLKSWAGEN","JETTA","JETTA SE","SEDAN 4D","BLACK","Front",50444,12675,0,1.4,"F",4,"Minimum"
"79","1N4AL3AP1GN344707",5100,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","WHITE","Rear",16728,16071,13503,2.5,"F",4,"Pure"
"80","1N4AL3AP6GC227216",3750,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","WHITE","Front",93346,10159,13433,2.5,"F",4,"Minimum"
"81","JN8AF5MR2GT601044",2900,2016,"NISSAN","JUKE S","JUKE S","4DR SPOR","RED","Rear",42412,14701,12757,1.6,"F",4,"Pure"
"82","1N4AL3AP3GN340464",2550,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Front",109575,9177,8044,2.5,"F",4,"Pure"
"83","1N4AL3APXGC247243",3150,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","RED","Rear",56256,13115,9312,2.5,"F",4,"Minimum"
"84","2HKRM3H76GH562335",4950,2016,"HONDA","CR-V EXL","CR-V EXL","4DR SPOR","BURGUNDY","Front",28863,22027,15556,2.4,"F",4,"Minimum"
"85","1HGCR2F57GA194842",4100,2016,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","GRAY","Side",156192,11963,11559,2.4,"F",4,"Pure"
"86","3VWD67AJ8GM244418",4050,2016,"VOLKSWAGEN","JETTA","JETTA SE","SEDAN 4D","GRAY","Minor",81471,16800,0,1.4,"F",4,"Minimum"
"87","4T1BF1FK0GU608878",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Front",40088,15977,0,2.5,"F",4,"Minimum"
"88","1N4AL3AP4GN307229",4250,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","MAROON","Rear",58357,11542,0,2.5,"F",4,"Pure"
"89","5N1AZ2MGXGN157282",5400,2016,"NISSAN","MURANO S","MURANO S","4DR SPOR","SILVER","Side",35826,19401,0,3.5,"F",6,"Pure"
"90","3N1AB7AP4GY303367",2050,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","GRAY","Front",85027,8378,0,1.8,"F",4,"Pure"
"91","19XFC2F59GE058495",3600,2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","SILVER","Side",53569,12724,0,2,"F",4,"Pure"
"92","5YFBURHE0GP440575",2850,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","CHARCOAL","Front",22193,13202,13635,1.8,"F",4,"Pure"
