Unnamed: 0,VIN,Price,Year,Make,Model.Group,Model.Detail,Body.Style,Color,Damage.Description,Odometer,Est..Retail.Value,Repair.cost,Engine,Drive,Cylinders,Sale.Status,ImportPrice
1,19UUB2F55GA007557,6400,2016,ACURA,TLX,TLX TECH,SEDAN 4D,BURGUNDY,Front,28035,22890,21430,3.5,F,6,Pure,5980
2,19UDE2F8XGA009158,5600,2016,ACURA,ILX,ILX PREMIU,SEDAN 4D,GRAY,Front,25128,21871,14518,2.4,F,4,Minimum,5980
3,5J8TB3H37GL017721,6000,2016,ACURA,RDX,RDX,4DR SPOR,MAROON,Front,50935,23648,13387,3.5,F,6,Minimum,4417
4,5J8TB4H33GL008584,3550,2016,ACURA,RDX,RDX,4DR SPOR,GRAY,Front,74667,20135,17347,3.5,All,6,Minimum,5881
5,19UDE2F33GA014707,3450,2016,ACURA,ILX,ILX BASE,SEDAN 4D,SILVER,ALL OVER,50533,16865,0,2.4,F,4,Minimum,5271
6,19UUB1F32GA015673,4150,2016,ACURA,TLX,TLX,SEDAN 4D,WHITE,Front,42782,17033,13890,2.4,F,4,Minimum,3300
7,19UDE2F86GA016365,1950,2016,ACURA,ILX,ILX PREMIU,SEDAN 4D,WHITE,Front,95098,13691,10777,2.4,F,4,Pure,3663
8,19UUB2F32HA005930,9000,2017,ACURA,TLX,TLX,SEDAN 4D,WHITE,Rear,21088,24725,0,3.5,F,6,Minimum,2589
9,19UUB3F55HA003127,9700,2017,ACURA,TLX,TLX TECH,SEDAN 4D,BLUE,Minor,35016,25697,28992,3.5,All,6,Pure,6626
10,5J8TB4H36HL030936,11800,2017,ACURA,RDX,RDX,4DR SPOR,WHITE,STRIPPED,26950,29087,0,3.5,All,6,Minimum,6801
11,5J8TB3H78HL007719,5800,2017,ACURA,RDX ADVANC,RDX ADVANC,4DR SPOR,GRAY,Front,39137,30686,20768,3.5,F,6,Pure,7640
12,19UDE2F38HA013750,3350,2017,ACURA,ILX,ILX BASE,SEDAN 4D,BLUE,Front,5587,20807,0,2.4,F,4,Pure,5831
13,5FRYD4H58HB017056,12100,2017,ACURA,MDX,MDX TECHNO,4DR SPOR,BLACK,Side,42684,34820,27617,3.5,All,6,Pure,3248
14,19UUB1F56HA011015,3700,2017,ACURA,TLX,TLX TECH,SEDAN 4D,GRAY,Front,29656,22448,17924,2.4,F,4,Pure,7796
15,19UDE2F37HA000813,2550,2017,ACURA,ILX,ILX BASE,SEDAN 4D,WHITE,Front,35663,17530,0,2.4,F,4,Approval,3429
16,WAUGFAFC5GN020159,11100,2016,AUDI,A6,A6 PREMIUM,SEDAN 4D,BLACK,Front,48405,35523,12215,2.0,All,4,Minimum,2832
17,WAUGFAFC8GN177216,7500,2016,AUDI,A6,A6 PREMIUM,SEDAN 4D,BLACK,Front,24299,27288,23081,2.0,All,4,Pure,7277
18,WAUGFAFC1GN008381,12400,2016,AUDI,A6,A6 PREMIUM,SEDAN 4D,GRAY,Rear,41284,27879,20344,2.0,All,4,Pure,5405
19,WAUA7GFF0G1051861,2650,2016,AUDI,A3,A3 PREMIUM,SEDAN 4D,BLUE,Front,40060,14835,13353,1.8,F,4,Minimum,7952
20,WAUCFAFC7GN191655,6500,2016,AUDI,A6,A6 PREMIUM,SEDAN 4D,GRAY,Front,41877,26355,19866,2.0,F,4,Minimum,2884
21,WAUA7GFF5G1075220,4150,2016,AUDI,A3,A3 PREMIUM,SEDAN 4D,BLACK,Front,45858,17117,12690,1.8,F,4,Pure,4885
22,WAUA7GFF4G1043035,5500,2016,AUDI,A3,A3 PREMIUM,SEDAN 4D,WHITE,Front,51547,19414,15422,1.8,F,4,Minimum,3663
23,WA1GFCFS9GR001431,9000,2016,AUDI,Q3 PRESTIG,Q3 PRESTIG,4DR SPOR,BLACK,Under,40489,27703,24322,2.0,All,4,Minimum,4366
24,WA1BCCFS7HR015851,10200,2017,AUDI,Q3 PREMIUM,Q3 PREMIUM,4DR SPOR,BLACK,Rear,33556,20938,12567,2.0,F,4,Minimum,6185
25,WA1LAAF72HD017871,24400,2017,AUDI,Q7 PREMIUM,Q7 PREMIUM,4DR SPOR,GRAY,Front,47544,41450,33368,3.0,All,6,Minimum,6809
26,WAUENAF46HN062408,10700,2017,AUDI,A4,A4 PREMIUM,SEDAN 4D,BLUE,Rear,11488,32196,27038,2.0,All,4,Pure,14190
27,WA1GCCFSXHR004123,8100,2017,AUDI,Q3 PRESTIG,Q3 PRESTIG,4DR SPOR,GRAY,Front,28588,28646,0,2.0,All,4,Approval,7069
28,WBA4A9C52GG505465,6100,2016,BMW,428 I,428 I,SEDAN 4D,BLUE,Side,80053,24349,0,2.0,R,4,Pure,5717
29,WBALL5C59G5A20009,7300,2016,BMW,Z4,Z4 SDRIVE2,CONVERTI,BLACK,Rear,22778,37445,18221,2.0,R,4,Minimum,4677
30,5UXKR2C53G0H41661,15600,2016,BMW,X5 SDRIVE3,X5 SDRIVE3,4DR SPOR,BLACK,Front,61670,44158,12362,3.0,R,6,Minimum,5301
31,WBA5B1C58GG134797,9600,2016,BMW,535 I,535 I,SEDAN 4D,SILVER,Rear,36356,33392,38428,3.0,R,6,Minimum,9616
32,WBA6D0C50GD927781,15500,2016,BMW,6 SERIES,640 I,SEDAN 4D,GRAY,Front,89449,51254,14251,3.0,R,6,Minimum,6497
33,WBS6E9C55GG437221,16600,2016,BMW,M6,M6 GRAN CO,SEDAN 4D,GRAY,Front,36478,67160,0,4.4,R,8,Approval,9564
